"","Plot.ID.Number","X6.Letter.Code","Species_Name"
"1063","HH87","CLAKEN","Cladastris kentukea"
"1933","OO146","AMORSPA","AMOSPA"
"1939","OO146","AMORSPA","AMOSPA"
"1940","OO146","AMORSPA","AMOSPA"
"2247","R86","ASCGLA","ASCGLA"
"1046885","AZ138","FESELA","Festuca elatior"
"1046984","BB141","TORJAP","Torilis japonica"
"1047194","D125","RUBHIS","Rubus hispidus"
"1047763","HH130","CALVUL","Calluna vulgaris"
"1047782","HH130","FESELA","Festuca elatior"
"1048673","R75","RUBIDS","Rubus idaeus strigosus"
"1048797","S72","RUDIDS","Rubes idaeus strigosus"
"1049054","U95","AGRALT","AGRALT"
"1049148","V95","AGEALT","Ageratina altissima"
"1049234","W71","RUBIDS","Rubus idaeus strigosus"
"1049287","W95","AGEALT","Ageratina altissima"
"1049351","X139","CXTRIC","Carex trichocarpa"
"1049354","X139","TORJAP","Torilis japonica"
"1049653","ZZ132","AGEALT","Ageratina altissima"
"1049753","C123","RUBPEN","Rubus pensilvanicus"
"1049897","HH103","SMITAM","Smilax tamnoides hispida"
