"","spp_names","Freq"
"1","Viburnum recognitum",21
"2","Festuca elatior",7
"3","Morus rubra",6
"4","Cladrastis lutea",4
"5","Rubus idaeus strigosus",4
"6","Ageratina altissima",3
"7","AMOSPA",3
"8","Alnus species",2
"9","Pinus banksiana",2
"10","Smilax tamnoides hispida",2
"11","Torilis japonica",2
"12","Viburnum rafinesquianum",2
"13","AGRALT",1
"14","Allium stellatum",1
"15","Anemone caroliniana",1
"16","Aruncus dioicus pubescens",1
"17","ASCGLA",1
"18","Asclepias meadii",1
"19","Calluna vulgaris",1
"20","Carex trichocarpa",1
"21","Cladastris kentukea",1
"22","Fragaria vesca americana",1
"23","Galium asprellum",1
"24","Helianthus divaricatus",1
"25","Populus alba",1
"26","Rubes idaeus strigosus",1
"27","Rubus hispidus",1
"28","Rubus pensilvanicus",1
"29","Rumex orbiculatus",1
"30","Uvularia sessilifolia",1
