"","spp_names","all_plots"
"1","Pinus banksiana","EE-128"
"2","Pinus banksiana","EE-128"
"3","Alnus species","H-115"
"4","Alnus species","H-115"
"5","Cladrastis lutea","HH-87"
"6","Cladrastis lutea","HH-87"
"7","Cladrastis lutea","LL-110"
"8","Cladrastis lutea","QQ-111"
"9","Morus rubra","TT-129"
"10","Morus rubra","TT-129"
"11","Morus rubra","TT-129"
"12","Morus rubra","TT-129"
"13","Morus rubra","TT-129"
"14","Morus rubra","TT-129"
"15","Allium stellatum","B-138"
"16","Rubus idaeus strigosus","DD-100"
"17","Rubus idaeus strigosus","DD-90"
"18","Rubus idaeus strigosus","R75"
"19","Rubus idaeus strigosus","W71"
"20","Asclepias meadii","FF-132"
"21","Festuca elatior","AZ138"
"22","Festuca elatior","FF-94"
"23","Festuca elatior","HH130"
"24","Festuca elatior","MM-108"
"25","Festuca elatior","NN-105"
"26","Festuca elatior","V-73"
"27","Festuca elatior","WW-106"
"28","Helianthus divaricatus","G-109"
"29","Viburnum recognitum","DD-130"
"30","Viburnum recognitum","FF-123"
"31","Viburnum recognitum","GG-135"
"32","Viburnum recognitum","HB-125"
"33","Viburnum recognitum","HH-79"
"34","Viburnum recognitum","HH-79"
"35","Viburnum recognitum","II-131"
"36","Viburnum recognitum","II-142"
"37","Viburnum recognitum","K-115"
"38","Viburnum recognitum","LL-90"
"39","Viburnum recognitum","P-95"
"40","Viburnum recognitum","S-92"
"41","Viburnum recognitum","S-92"
"42","Viburnum recognitum","V-136"
"43","Viburnum recognitum","V-136"
"44","Viburnum recognitum","V-89"
"45","Viburnum recognitum","W-91"
"46","Viburnum recognitum","W-95"
"47","Viburnum recognitum","Y-90"
"48","Viburnum recognitum","Y-90"
"49","Viburnum recognitum","ZZ-132"
"50","Galium asprellum","II-105"
"51","Uvularia sessilifolia","O-121"
"52","Viburnum rafinesquianum","T-77"
"53","Viburnum rafinesquianum","U-70"
"54","Anemone caroliniana","TT-119"
"55","Smilax tamnoides hispida","HH103"
"56","Smilax tamnoides hispida","W-87"
"57","Aruncus dioicus pubescens","W-95"
"58","Fragaria vesca americana","YY-122"
"59","Rumex orbiculatus","YY-146"
"60","Populus alba","AA-79"
"61","Cladastris kentukea","HH87"
"62","AMOSPA","OO146"
"63","AMOSPA","OO146"
"64","AMOSPA","OO146"
"65","ASCGLA","R86"
"66","Torilis japonica","BB141"
"67","Torilis japonica","X139"
"68","Rubus hispidus","D125"
"69","Calluna vulgaris","HH130"
"70","Rubes idaeus strigosus","S72"
"71","AGRALT","U95"
"72","Ageratina altissima","V95"
"73","Ageratina altissima","W95"
"74","Ageratina altissima","ZZ132"
"75","Carex trichocarpa","X139"
"76","Rubus pensilvanicus","C123"
